date,AMZN,AAPL
2022-10-13 16:05:00-04:00,,
2022-10-14 16:05:00-04:00,,
2022-10-17 16:05:00-04:00,,
2022-10-18 16:05:00-04:00,44.0,-21.0
2022-10-19 16:05:00-04:00,,
2022-10-20 16:05:00-04:00,,
2022-10-21 16:05:00-04:00,,
2022-10-24 16:05:00-04:00,,
2022-10-25 16:05:00-04:00,,
2022-10-26 16:05:00-04:00,,
2022-10-27 16:05:00-04:00,,
2022-10-28 16:05:00-04:00,,
2022-10-31 16:05:00-04:00,,
2022-11-01 16:05:00-04:00,,
2022-11-02 16:05:00-04:00,,
2022-11-03 16:05:00-04:00,,
2022-11-04 16:05:00-04:00,,
2022-11-07 16:05:00-05:00,,
2022-11-08 16:05:00-05:00,,
2022-11-09 16:05:00-05:00,,
2022-11-10 16:05:00-05:00,,
2022-11-11 16:05:00-05:00,,
