"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"325";"USDJPY_M1";"Buy";"2015.09.04 13:00:00";"119.093";"0.10000";"2015.09.06 21:00:00";"118.913";"-18.00";"11170.10";"IST";"End Of Friday";"-32.00";"33.10";"2d 8h 0m";""
"326";"USDJPY_M1";"Buy";"2015.09.06 21:00:00";"118.933";"0.10000";"2015.09.09 07:00:00";"120.733";"180.00";"11350.10";"IST";"PT";"-13.50";"180.00";"2d 10h 0m";""
"327";"USDJPY_M1";"Sell";"2015.09.09 11:00:00";"120.606";"0.10000";"2015.09.09 11:00:00";"120.956";"-35.00";"11315.10";"IST";"SL";"-35.00";"0.20";"0s";""
"328";"USDJPY_M1";"Sell";"2015.09.09 12:00:00";"120.940";"0.10000";"2015.09.10 04:00:00";"121.290";"-35.00";"11280.10";"IST";"SL";"-35.00";"94.30";"16h 0m";""
"329";"USDJPY_M1";"Buy";"2015.09.10 07:00:00";"120.721";"0.10000";"2015.09.11 07:00:00";"120.371";"-35.00";"11245.10";"IST";"SL";"-35.00";"60.40";"1d 0h 0m";""
"330";"USDJPY_M1";"Buy";"2015.09.11 19:00:00";"120.612";"0.10000";"2015.09.13 21:00:00";"120.510";"-10.20";"11234.90";"IST";"End Of Friday";"-10.20";"4.30";"2d 2h 0m";""
"331";"USDJPY_M1";"Buy";"2015.09.14 03:00:00";"120.461";"0.10000";"2015.09.14 08:00:00";"120.111";"-35.00";"11199.90";"IST";"SL";"-35.00";"2.80";"5h 0m";""
"332";"USDJPY_M1";"Buy";"2015.09.14 13:00:00";"120.305";"0.10000";"2015.09.14 15:00:00";"119.955";"-35.00";"11164.90";"IST";"SL";"-35.00";"0.00";"2h 0m";""
"333";"USDJPY_M1";"Buy";"2015.09.14 20:00:00";"120.175";"0.10000";"2015.09.15 05:00:00";"119.825";"-35.00";"11129.90";"IST";"SL";"-35.00";"47.60";"9h 0m";""
"334";"USDJPY_M1";"Sell";"2015.09.15 06:00:00";"119.834";"0.10000";"2015.09.15 14:00:00";"120.184";"-35.00";"11094.90";"IST";"SL";"-35.00";"41.40";"8h 0m";""
"335";"USDJPY_M1";"Buy";"2015.09.15 15:00:00";"120.169";"0.10000";"2015.09.17 19:00:00";"119.819";"-35.00";"11059.90";"IST";"SL";"-35.00";"82.00";"2d 4h 0m";""
